No,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
区分,データ取得日,プレイヤー名情報,プレイヤー名情報,プレイヤー名情報,プレイヤー名情報,ドライブゲージ,ドライブゲージ,ドライブゲージ,ドライブゲージ,ドライブゲージ,ドライブゲージ,ドライブゲージ,ドライブリバーサル,ドライブパリィ,ドライブパリィ,ドライブパリィ,ドライブパリィ,ドライブインパクト,ドライブインパクト,ドライブインパクト,ドライブインパクト,ドライブインパクト,ドライブインパクト,SAゲージ使用割合,SAゲージ使用割合,SAゲージ使用割合,SAゲージ使用割合,スタン,スタン,投げ,投げ,投げ,壁際,壁際,プレイ回数,プレイ回数,プレイ回数,プレイ回数,プレイポイント
項目,データ取得日,プレイヤー名,リーグポイント,ランク,MR,ドライブパリィ,ドライブインパクト,オーバードライブアーツ,パリィドライブラッシュ,キャンセルドライブラッシュ,ドライブリバーサル,ダメージ,使用回数,成功回数,相手のドライブパリィを投げた,自分のドライブパリィを投げられた,ジャストパリィ回数,決めた回数,パニッシュカウンターを決めた回数,相手のドライブインパクトに決めた回数,受けた回数,パニッシュカウンターを受けた回数,相手にドライブインパクトで返された回数,Lv1,Lv2,Lv3,CA,スタンさせた回数,スタンさせられた回数,決めた回数,受けた回数,投げ抜け回数,相手を追い詰めている時間,相手に追い詰められている時間,ランクマッチプレイ回数,カジュアルマッチプレイ回数,ルームマッチプレイ回数,バトルハブマッチプレイ回数,累計プレイポイント
単位,日付,テキスト,数値,テキスト,数値,割合,割合,割合,割合,割合,割合,割合,回,回,回,回,回,回,回,回,回,回,回,割合,割合,割合,割合,回,回,回,回,回,秒,秒,回,回,回,回,数値
53,2026/3/14,niruhiru PC,740868,ULTIMATE,2205,15.84%,1.79%,22.47%,9.05%,23.65%,1.21%,25.95%,0.2,2.2,0.4,0.3,0.7,0.2,0.1,0.1,0.2,0,0,32.80%,54.40%,8.00%,4.80%,0.1,0,2.3,2.4,0.4,13,10.2,25114,14,4169,1470,875406
54,2026/3/14,kosaku,657565,ULTIMATE,2203,8.92%,0.97%,19.09%,6.20%,40.39%,0.16%,24.24%,0,0.8,0,0.1,0.3,0.1,0,0,0.1,0.1,0,37.62%,15.84%,35.64%,10.89%,0,0.1,1.5,1.9,0.5,20.5,7,35217,1,15467,1771,1322419
55,2026/3/14,Nth＿satoru,851939,ULTIMATE,2203,9.34%,3.01%,10.57%,4.02%,46.26%,1.83%,24.94%,0.2,2.2,0.3,0.1,0.4,0.4,0.2,0.1,0.3,0.2,0.1,20.79%,40.59%,28.71%,9.90%,0.2,0,2.2,1.8,0.2,13.1,9.2,55756,0,11224,78,1823875
56,2026/3/14,らおやむやむ☆ハイハイ謝謝♪,20661,DIAMOND2,2202,13.26%,1.40%,13.53%,4.25%,40.99%,4.08%,22.45%,0.6,3.2,0.2,0.1,1.3,0.3,0.2,0.1,0.2,0.1,0,50.53%,15.05%,29.03%,5.37%,0.1,0.1,2.1,2.2,0.6,8,8.8,38600,109,19438,269,1395586
57,2026/3/14,ネコと和解せよ,566374,ULTIMATE,2202,17.69%,1.40%,32.95%,12.89%,12.85%,1.94%,20.24%,0.3,1.9,0.2,0.1,0.2,0.2,0.1,0.1,0.2,0.1,0,29.62%,23.45%,38.27%,8.64%,0.1,0,2.3,1.7,0.6,10.9,8.2,7755,0,2517,10048,686148
58,2026/3/14,Torimeshi,810340,ULTIMATE,2201,14.64%,2.19%,18.42%,10.52%,27.52%,8.26%,18.42%,1.1,1.1,0.2,0.2,0.7,0.3,0.1,0,0.1,0.1,0,52.94%,7.84%,35.29%,3.92%,0.1,0,1.9,2.1,0.6,7.3,11.4,25752,0,12460,320,969222
59,2026/3/14,-sai,782907,ULTIMATE,2200,15.78%,0.74%,7.99%,7.21%,43.71%,2.16%,22.37%,0.3,3.3,0.6,0.2,1.3,0.1,0.1,0.1,0.1,0.1,0,21.73%,27.53%,42.02%,8.69%,0,0,4.6,2.1,0.7,12.3,6.9,40380,0,18605,664,1458125
60,2026/3/14,カンフーマスターpc,269928,ULTIMATE,2200,19.05%,3.52%,25.57%,11.73%,3.15%,1.23%,35.71%,0.1,1.4,0.4,0.2,0.5,0.3,0.1,0,0.1,0.1,0,18.18%,43.18%,30.68%,7.95%,0.1,0,2.7,2.4,0.7,12.9,7.1,13250,0,111,0,417938
61,2026/3/14,JACK_DOLL,837307,ULTIMATE,2199,15.08%,1.36%,18.63%,9.23%,27.76%,0.99%,26.91%,0.1,1.6,0.1,0.2,0.6,0.2,0.1,0,0.1,0.1,0,29.76%,4.76%,52.38%,13.09%,0,0.1,1.9,2,0.5,8.6,9.2,54305,0,4498,1071,1737497
62,2026/3/14,SURINI,475360,ULTIMATE,2196,14.69%,2.14%,20.47%,10.77%,31.43%,1.42%,19.04%,0.2,1.3,0.2,0.2,0.5,0.2,0.1,0,0.1,0.1,0,11.82%,15.05%,62.36%,10.75%,0.1,0,3.2,2.3,0.4,15.2,8.3,34055,43,1850,195,1075523
