short_id,fetch_date,player_name,league_point,master_rating,league_rank,battle_hub_match_play_count,casual_match_play_count,corner_time,cornered_time,custom_room_match_play_count,drive_impact,drive_impact_to_drive_impact,drive_parry,drive_reversal,gauge_rate_ca,gauge_rate_drive_arts,gauge_rate_drive_guard,gauge_rate_drive_impact,gauge_rate_drive_other,gauge_rate_drive_reversal,gauge_rate_drive_rush_from_cancel,gauge_rate_drive_rush_from_parry,gauge_rate_sa_lv1,gauge_rate_sa_lv2,gauge_rate_sa_lv3,just_parry,punish_counter,rank_match_play_count,received_drive_impact,received_drive_impact_to_drive_impact,received_punish_counter,received_stun,received_throw_count,received_throw_drive_parry,rival_ai_achieved_challenge_count,rival_ai_highest_league_rank,rival_ai_highest_league_rank_txt,stun,target_clear_count,throw_count,throw_drive_parry,throw_tech,total_all_character_play_point
2649234087,2026/3/14,でんせつえすぴ～,851098,2209,36,17,0,12.4,8.9,3039,0.1,0,1.3,0.1,0.1487,0.2519,0.1308,0.0133,0.2648,0.0101,0.2411,0.0876,0.5123,0.0413,0.2975,0.7,0,17656,0.1,0,0.1,0,2,0.2,0,0,-,0.1,27,3,0.3,0.3,567450
2838390560,2026/3/14,めんたらこ,826631,2208,36,80,342,8.6,8.5,2093,0.4,0.1,1.4,0.2,0.1724,0.1432,0.1584,0.0306,0.2043,0.0125,0.3445,0.1061,0.2298,0.3448,0.2528,0.6,0.3,49284,0.3,0.1,0.2,0.1,2.4,0.2,0,36,Master,0.1,117,3.5,0.3,0.4,1531648
1927204743,2026/3/14,Seichi（せいち）,790700,2206,36,3452,0,13.4,8.4,10639,0.4,0.1,2.6,0.1,0.036,0.1862,0.1729,0.0435,0.2034,0.0078,0.2928,0.0931,0.3513,0.4504,0.1621,0.8,0.2,49863,0.3,0.1,0.2,0,2.4,0.5,1,36,Master,0.1,528,1.4,0.2,0.4,1860874
2898412129,2026/3/14,Zhen,795745,2205,36,698,2,14.8,8.8,14872,0.2,0.1,1.6,0.3,0.0439,0.2317,0.1263,0.0196,0.2376,0.0262,0.3008,0.0575,0.3956,0.1318,0.4285,0.7,0.2,42525,0.1,0,0.1,0,2.3,0.3,0,36,Master,0,211,3.6,0.3,0.5,1504387
2116937999,2026/3/14,Taisei,80302,1609,36,342,305,11.5,9.1,7605,0.2,0.1,2.6,0.2,0.074,0.1303,0.1537,0.0145,0.2506,0.0162,0.3636,0.0709,0.2222,0.3796,0.324,1.4,0.1,43649,0.2,0,0.1,0.1,2.4,0.3,0,0,-,0.1,138,2.9,0.4,0.4,1455344
1981551637,2026/3/14,niruhiru PC,740868,2028,36,1470,14,13,10.2,4169,0.2,0.1,2.2,0.2,0.048,0.2247,0.1584,0.0179,0.2595,0.0121,0.2365,0.0905,0.328,0.544,0.08,0.7,0.1,25114,0.2,0,0,0,2.4,0.3,0,36,Master,0.1,123,2.3,0.4,0.4,875406
3466993951,2026/3/14,kosaku,657565,2203,36,1771,1,20.5,7,15467,0.1,0,0.8,0,0.1089,0.1909,0.0892,0.0097,0.2424,0.0016,0.4039,0.062,0.3762,0.1584,0.3564,0.3,0,35217,0.1,0,0.1,0.1,1.9,0.1,0,36,Master,0,200,1.5,0,0.5,1322419
3816954641,2026/3/14,らおやむやむ☆ハイハイ謝謝♪,20661,0,32,269,109,8,8.8,19438,0.3,0.1,3.2,0.6,0.0537,0.1353,0.1326,0.014,0.2245,0.0408,0.4099,0.0425,0.5053,0.1505,0.2903,1.3,0.2,38600,0.2,0,0.1,0.1,2.2,0.1,0,36,Master,0.1,193,2.1,0.2,0.6,1395586
4186916094,2026/3/14,ネコと和解せよ,566374,2202,36,10048,0,10.9,8.2,2517,0.2,0.1,1.9,0.3,0.0864,0.3295,0.1769,0.014,0.2024,0.0194,0.1285,0.1289,0.2962,0.2345,0.3827,0.2,0.1,7755,0.2,0,0.1,0,1.7,0.1,0,36,Master,0.1,382,2.3,0.2,0.6,686148
1396895782,2026/3/14,Torimeshi,810340,2201,36,320,0,7.3,11.4,12460,0.3,0,1.1,1.1,0.0392,0.1842,0.1464,0.0219,0.1842,0.0826,0.2752,0.1052,0.5294,0.0784,0.3529,0.7,0.1,25752,0.1,0,0.1,0,2.1,0.2,0,0,-,0.1,102,1.9,0.2,0.6,969222
2344551857,2026/3/14,BonchanRB,-1,0,39,521,0,13.1,9.3,28410,0.2,0,1.3,0.2,0.1375,0.1329,0.1326,0.0135,0.2723,0.0135,0.3523,0.0826,0.15,0.2625,0.45,0.6,0.1,16648,0.1,0,0.1,0,2.4,0.2,0,36,Master,0,117,1.9,0.2,0.7,875942
2467341012,2026/3/14,-sai,782907,2200,36,664,0,12.3,6.9,18605,0.1,0.1,3.3,0.3,0.0869,0.0799,0.1578,0.0074,0.2237,0.0216,0.4371,0.0721,0.2173,0.2753,0.4202,1.3,0.1,40380,0.1,0,0.1,0,2.1,0.2,0,36,Master,0,185,4.6,0.6,0.7,1458125
